,Name,Brand,Price,Link
39,"Walton Passion BP5800 Core i5 8th Gen 15.6"" HD Laptop",Walton,52550,https://www.startech.com.bd/walton-passion-bp5800-core-i5-8th-gen-laptop
40,ASUS D415DA Ryzen 3 3250U 14-inch HD Laptop,ASUS,53000,https://www.startech.com.bd/asus-d415da-ryzen-3-3250u-hd-laptop
41,"ASUS VivoBook 15 M515DA Ryzen 3 3250U 15.6"" HD Laptop",ASUS,53000,https://www.startech.com.bd/asus-vivobook-15-m515da-ryzen-3-3250u-hd-laptop
42,"Acer Aspire 3 A315-58 Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop",Acer,53000,https://www.startech.com.bd/acer-aspire-3-a315-58-core-i3-11th-gen-fhd-laptop
43,"Dell Vostro 14 3400 Core i3 11th Gen 14"" HD Laptop Backlit Keyboard with 256GB SSD+1TB HDD (03 Years Warranty)",Dell,50500,https://www.startech.com.bd/dell-vostro-14-3400-core-i3-hd-laptop
44,"Acer TravelMate TMP215-53 Core i3 11th Gen 15.6"" FHD Laptop",Acer,55000,https://www.startech.com.bd/acer-travelmate-tmp215-53-core-i3-11th-gen-laptop
45,"Toshiba Dynabook Satellite Pro C40-G-13E Core i5 10th Gen 14"" HD Laptop",Toshiba,55000,https://www.startech.com.bd/toshiba-dynabook-satellite-pro-c40-g-13e-laptop
46,"ASUS VivoBook 15 D515DA Ryzen 3 3250U 15.6"" FHD Laptop",ASUS,55500,https://www.startech.com.bd/asus-vivobook-15-d515da-ryzen-3-3250u-laptop
47,"ASUS VivoBook 15 D515DA Ryzen 3 3250U 15.6"" FHD Laptop with Windows 11",ASUS,55500,https://www.startech.com.bd/asus-vivobook-15-d515da-ryzen-3-laptop
48,"ASUS ExpertBook P1 P1412CEA Core i3 11th Gen 14"" FHD Laptop",ASUS,56000,https://www.startech.com.bd/asus-expertbook-p1-p1412cea-core-i3-11th-gen-laptop
49,"Lenovo IdeaPad Slim 3i 11th Gen Core i3 8GB RAM 14"" FHD Laptop with Windows 11",Lenovo,56900,https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-fhd-gen-8gb-ram-14-inch-laptop
50,"Walton Tamarind MX311G Core i3 11th Gen 14"" FHD Laptop",Walton,57500,https://www.startech.com.bd/walton-tamarind-mx311g-core-i3-11th-gen-laptop
51,"ASUS VivoBook 15 X515EA Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop",ASUS,58000,https://www.startech.com.bd/asus-vivobook-15-x515ea-core-i3-11th-gen-fhd-laptop
52,"Dell Inspiron 15 3525 Ryzen 3 5425U 15.6"" FHD Laptop",Dell,58000,https://www.startech.com.bd/dell-inspiron-15-3525-ryzen-3-5425u-fhd-laptop
53,"HP 250 G8 Core i3 11th Gen 15.6"" FHD Laptop",HP,58500,https://www.startech.com.bd/hp-250-g8-core-i3-11th-gen-laptop
