,Name,Brand,Price,Link,Storage
79,"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 500GB SSD 15.6"" FHD Laptop with DDR5 RAM",Lenovo,63000,https://www.startech.com.bd/lenovo-ideapad-1-15amn7-amd-ryzen-5-laptop,"RAM: 8GB DDR5 5500MHz, Storage: 500GB M.2 NVMe SSD"
80,"Acer Aspire 3 A315-58 Core i5 11th Gen 512GB SSD 15.6"" FHD Laptop",Acer,62500,https://www.startech.com.bd/acer-aspire-3-a315-58-core-i5-11th-gen-512gb-ssd-laptop,"RAM: 8GB DDR4, Storage: 512GB SSD"
81,"Acer Aspire 5 A515-56 Core i5 11th Gen 15.6"" FHD Laptop With Backlit Keyboard",Acer,66500,https://www.startech.com.bd/acer-aspire-5-a515-56-core-i5-11th-gen-laptop,"RAM: 8GB DDR4 2666MHz, Storage: 512GB SSD"
82,"Lenovo K14 Core i3 11th Gen 14"" FHD Business Series Laptop",Lenovo,66500,https://www.startech.com.bd/lenovo-k14-core-i3-11th-gen-laptop,"RAM: 8GB DDR4 3200MHz, Storage: 512GB SSD"
83,"Lenovo IdeaPad 3 Ryzen 5 5500U 15.6"" FHD Laptop",Lenovo,65000,https://www.startech.com.bd/lenovo-ideapad-3-ryzen-5-5500u-laptop,RAM: 8GB 3200MHZ RAM
84,"Dell Vostro 14 3400 Core i5 11th Gen 14"" FHD Laptop",Dell,67500,https://www.startech.com.bd/dell-vostro-14-3400-i5-laptop,4GB DDR4 3200MHz RAM
85,"HP 15s-eq2690AU Ryzen 5 5500U 15.6"" FHD Laptop",HP,66000,https://www.startech.com.bd/hp-15s-eq2690au-ryzen-5-5500u-laptop,"RAM: 8GB DDR4 (2 x 4GB), Storage: 512GB SSD"
86,"ASUS VivoBook 15 X515JA Core i5 10th Gen 512GB SSD 15.6"" FHD Laptop",ASUS,68000,https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i5-10th-gen-laptop,Memory: 8GB DDR4 SDRAM
87,"Asus Vivobook S15 S513EA Core i3 11th Gen 4GB RAM 15.6"" OLED FHD Laptop",Asus,68500,https://www.startech.com.bd/asus-vivobook-s15-s513ea-core-i3-11th-gen-oled-fhd-laptop,"RAM: 4GB DDR4, Storage: 512G SSD"
88,"ASUS VivoBook 15 X515EA Core i5 11th Gen 15.6"" FHD Laptop",ASUS,69000,https://www.startech.com.bd/asus-vivobook-15-x515ea-i5-11th-gen-laptop,"RAM:  4GB DDR4, Storage: 1TB HDD"
89,"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 15.6"" FHD Laptop",ASUS,66500,https://www.startech.com.bd/asus-vivobook-15-x1502za-core-i3-12th-gen-laptop,"RAM: 4GB DDR4 , Storage: 512GB SSD"
90,"ASUS VivoBook 14 X1402ZA Core i3 12th Gen 14"" FHD Laptop",ASUS,69990,https://www.startech.com.bd/asus-vivobook-14-x1402za-core-i3-12th-gen-fhd-laptop,"RAM: 4GB DDR4, Storage: 512GB NVMe SSD"
91,"HP 15s-eq3234AU Ryzen 5 5625U 15.6"" FHD Laptop",HP,68000,https://www.startech.com.bd/hp-15s-eq3234au-ryzen-5-5625u-laptop,"RAM: 8GB DDR4, Storage: 512GB SSD"
92,"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Soft Lavender",Avita,70950,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-soft-lavender,"RAM: 8GB DDR4 RAM, Storage: 512GB SSD"
93,"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Infinite Black",Avita,70950,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-infinite-black,"RAM: 8GB DDR4 RAM, Storage: 512GB SSD"
94,"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Star Silver",Avita,70950,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-star-silver,"RAM: 8GB DDR4 RAM, Storage: 512GB SSD"
95,"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Aqua Blue",Avita,70950,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-aqua-blue,"RAM: 8GB DDR4 RAM, Storage: 512GB SSD"
96,"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Anchor Grey",Avita,70950,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-anchor-grey,"RAM: 8GB DDR4 RAM, Storage: 512GB SSD"
97,"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Golden Matt Black",Avita,70950,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-golden-matt-black,"RAM: 8GB DDR4 RAM, Storage: 512GB SSD"
